design,acted_n,acted_share,action_accuracy,default_precision_when_text_says_default,nondefault_precision_when_text_says_safe
old_proxy_separate_arbitrator,578,0.08257142857142857,0.7474048442906575,0.2549019607843137,0.7950664136622391
new_green_as_arbitrator,291,0.04157142857142857,0.7422680412371134,0.2916666666666667,0.7827715355805244
