grade,n,default_rate,text_auc,high_conf_n,high_conf_text_direction_accuracy
C,3548,0.1806651634723788,0.5065708304286763,3436,0.41443538998835855
D,2020,0.22277227722772278,0.5229731068648266,1947,0.4473549049820236
E,922,0.27006507592190887,0.5335308544728692,888,0.46959459459459457
F,399,0.38596491228070173,0.4945136496156904,385,0.4779220779220779
G,111,0.40540540540540543,0.563973063973064,109,0.5229357798165137
